BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	L051	L066	L089	L039	L079	L001	L011	L063	L069	L077	L108	L117	L118	L006	L111	L002	L018	L041	L104	L060	L065	L099	L102	L105	L115	L043	L044	L056	L057	L062	L064	L081	L082	L083	L086	L091	NL057	L093	L098	L096	L101	L106	L114	L116	L109	NL005	NL007	NL019	NL018	NL022	NL023	NL040	NL048	NL049	NL050	NL058	NL059	NL073	NL074	NL064	NL069	NL070	NL071	NL034	NL055	NL087	NL090	NL091	NL093	NL099	NL100	NL101	NL102	NL105	NL108	NL114	NL125	NL119	NL121	NL122	NL128	NL129	NL130	NL131	NL132
glycodeoxycholate	Lipid	Secondary Bile Acid Metabolism	0.2593	0.2593	0.2593	1.9768	0.2593	0.2593	2.5572	0.2593	0.2593	0.2593	0.7314	9.5436	0.2593	0.2593	0.2593	0.2593	15.7071	0.2593	2.8525	0.2593	0.2593	0.2593	0.2593	11.3682	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	1.1007	0.2593	0.6576	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.6745	0.8993	0.2593	0.2593	0.7092	0.2593	0.2593	0.2593	2.8418	0.2653	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.2593	0.3716	0.2593	0.2593	0.2593	0.2593
glycodeoxycholate sulfate	Lipid	Secondary Bile Acid Metabolism	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	85.6312	0.1186	0.1186	0.1186	0.1186	6.9680	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	4.8087	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1473	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	1.7678	0.2043	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186	0.2322	0.1186	0.1186	0.1186	0.1186	0.1186	0.1186
glycolithocholate sulfate*	Lipid	Secondary Bile Acid Metabolism	0.2084	0.2084	0.2084	0.2230	0.4533	0.2084	1.3581	0.2084	0.3480	0.2084	0.4140	184.9774	0.2084	0.2084	0.9735	0.2084	92.6750	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	24.6204	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	3.5226	0.2084	0.2084	0.2084	2.1076	1.1318	0.3544	0.2084	0.6548	0.2084	0.2084	0.2084	0.5935	0.2084	0.7670	0.2084	0.2084	0.2084	0.4298	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	1.6137	0.2084	0.2084	0.2084	0.2084	53.3879	1.2366	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084	1.0265	0.2084	0.2084	0.2084	0.2084	0.2084	0.2084
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	Lipid	Ceramides	0.2069	0.2069	0.2069	1.2625	0.2069	0.2069	1.4353	0.7220	0.2069	0.2069	1.4927	4.8053	0.2069	0.2069	0.2344	0.5798	1.0763	0.8266	0.2069	0.9219	0.2069	0.2069	0.2069	0.6771	1.2280	0.2069	0.2069	0.2069	0.2069	0.2069	0.3398	1.7064	0.2069	0.2069	1.8056	0.2069	0.2069	0.2069	2.1504	1.5292	0.2069	0.2069	0.2069	1.5967	0.7844	0.2069	0.2069	1.2971	0.2069	0.2263	1.8082	0.3489	3.2462	0.2069	0.2069	0.2069	0.2069	0.2069	0.2069	1.0750	0.2069	0.2069	0.2069	0.2069	1.6587	0.2069	0.7985	0.2609	0.2069	1.0000	0.2069	0.2194	0.2069	0.2069	0.2069	0.5379	0.2069	0.2069	0.4274	0.2069	0.7650	0.2069	0.2069	1.5047	0.2069
glycylisoleucine	Peptide	Dipeptide	0.5755	0.4790	0.0539	1.7930	4.5757	0.4238	8.7654	3.5691	2.1284	0.3097	6.0773	7.2862	0.0539	1.5471	1.3108	0.9519	4.2231	1.3505	5.4679	3.0850	0.0539	1.7801	0.1235	1.4107	2.2298	0.0539	1.9924	0.5374	0.8933	0.0702	11.5084	0.6333	0.1427	0.1671	3.3657	0.0539	1.2245	1.1135	0.7590	0.0595	0.1818	1.0805	2.4799	2.6549	0.9950	0.0539	0.4193	2.3015	1.1447	0.0539	0.0539	0.0539	1.7471	1.9111	1.6569	0.0539	0.9166	0.1302	0.0539	1.8602	1.0000	0.0539	0.0539	0.6727	0.7523	0.0539	0.3333	1.1028	0.0539	0.0539	0.0539	0.2203	0.1561	0.5491	0.3180	0.0539	0.0539	0.1977	2.8407	0.3328	0.9046	0.0539	0.0539	0.6446	0.2156
glycylleucine	Peptide	Dipeptide	0.7162	0.3610	0.0615	0.8974	2.6550	1.0870	15.7370	4.2262	1.4863	0.1140	5.3214	7.0411	0.0615	2.2054	1.6909	1.0000	10.6931	1.3981	5.9134	1.8625	0.0615	1.2864	0.0615	1.7479	3.0446	0.0615	1.9706	0.3995	0.6296	0.0615	17.0129	0.5251	0.1011	0.0615	4.2872	0.0615	0.5464	0.7566	1.0169	0.0615	0.2015	0.9207	2.1820	5.3453	1.1889	0.0615	0.4211	1.7247	0.7040	0.0615	0.0615	0.0615	0.7491	0.7964	1.5195	0.0615	0.6314	0.0615	0.0615	2.0561	0.2982	0.0615	0.0615	0.4136	4.9122	0.0615	0.3210	0.4974	0.0615	0.0615	0.0615	0.0615	0.0615	0.4893	0.1566	0.0615	0.0615	0.1287	1.5587	0.2018	0.8847	0.0615	0.0615	0.6648	0.0615
glycylvaline	Peptide	Dipeptide	2.2442	0.5562	0.0721	1.2699	5.5459	0.5492	19.9773	3.0246	2.5871	0.3839	4.9495	8.3242	0.0338	2.0600	1.5441	0.8756	8.0793	1.7087	5.7998	3.6314	0.0338	1.9284	0.1482	1.0690	2.2437	0.0882	2.4351	0.5491	1.0569	0.1726	7.8374	0.7751	0.2400	0.2019	2.6784	0.0338	1.1957	1.1659	0.4316	0.1477	0.2652	1.1424	2.8163	3.4877	1.0035	0.1067	0.3638	2.1100	1.1099	0.0338	0.0746	0.0430	2.6422	1.6581	1.2893	0.1206	1.0169	0.2497	0.0338	1.9519	0.7378	0.0338	0.0338	0.6977	2.7764	0.0765	0.4530	0.9965	0.0338	0.0338	0.1279	0.1654	0.1721	0.5681	0.3948	0.0338	0.0338	0.3092	1.8690	0.3126	0.7523	0.0338	0.0410	1.3075	0.3200
guaiacol sulfate	Xenobiotics	Benzoate Metabolism	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	1.5683	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	1.2842	0.1617	0.1617	0.1617	0.1617	0.2869	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	1.2174	0.1617	0.1617	0.1617	0.1617	0.1617	2.6589	0.9419	2.7364	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.6664	1.0000	0.1617	0.1617	0.1617	0.1617	0.3723	0.1617	0.1617	1.0604	0.1617	0.1617	0.1617	0.1617	0.3149	0.8110	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617	10.5165	0.1617	0.1617	0.1617	0.1617	0.1617	0.1617
guanidinoacetate	Amino Acid	Creatine Metabolism	3.2735	0.0557	0.1009	0.0820	1.9802	0.0936	53.9189	0.3443	1.1667	0.4924	21.2904	15.0313	0.0415	1.9486	0.8387	1.9114	2.2683	0.7314	0.0415	7.4398	0.0415	9.9397	0.0415	2.1924	1.8964	0.0850	9.3584	0.2938	0.0461	0.2212	1.7079	2.0498	0.2731	0.0535	0.9348	2.3360	0.9468	0.6219	1.0000	0.4833	0.5364	23.3144	28.7811	20.4584	0.1075	0.0415	0.0808	0.9978	0.0415	0.0415	0.4523	14.2210	0.0415	0.1548	1.9487	0.0969	11.0353	0.5935	0.0415	5.6685	0.0584	0.0415	0.0681	3.1510	9.3243	3.7100	2.0761	0.0611	0.0415	0.0415	0.2117	0.0415	1.8184	5.3634	0.3051	0.0415	0.0415	0.7370	39.4616	0.0415	6.3162	0.0415	2.5334	2.2084	0.4368
guanidinosuccinate	Amino Acid	Guanidino and Acetamido Metabolism	1.5520	0.1950	0.1950	0.1950	3.4152	0.1950	0.1950	0.1950	2.6165	0.6560	1.4097	0.1950	0.1950	0.1950	0.4689	1.1656	0.1950	0.9973	0.1950	1.0027	0.1950	2.8692	0.1950	0.6220	0.6741	0.1950	1.7334	0.1950	0.3250	0.1950	0.1950	0.1950	0.1950	0.1950	0.1950	0.1950	0.1950	1.0896	0.1950	0.1950	0.1950	0.9632	2.6682	0.1950	0.1950	0.1950	0.1950	1.0143	0.1950	0.1950	0.1950	0.5656	0.1950	0.1950	0.8323	0.1950	2.0639	0.1950	0.1950	0.6742	0.1950	0.1950	0.1950	0.1950	0.1950	0.9966	0.1950	0.2824	0.1950	0.1950	0.1950	0.1950	0.1950	1.0503	0.1950	0.1950	0.1950	0.1950	7.2082	0.1950	0.1950	0.1950	0.1950	0.6589	0.1950
guanine	Nucleotide	Purine Metabolism, Guanine containing	0.6772	1.0490	0.0626	5.4142	1.4636	0.8840	7.3114	0.5177	1.3699	0.3443	6.8268	59.7661	0.0626	0.4867	1.2813	3.6445	57.6619	4.8370	5.9985	11.7923	0.5432	0.2707	0.8607	1.6520	3.2812	0.1513	1.9846	1.4271	1.8825	2.5755	0.5054	2.3419	0.3664	0.3865	0.9664	1.0000	2.1533	1.4831	8.3614	0.9068	0.0626	0.1355	0.6943	10.2061	15.0914	0.4071	0.4885	1.6095	10.2403	0.6396	0.4504	0.3936	16.3783	1.9976	0.5740	0.1137	0.8877	0.3136	0.0626	3.5986	3.3581	0.0626	0.2555	2.2149	70.0877	0.6555	2.9618	3.0181	0.0751	1.2458	0.2643	3.8372	0.2154	0.1885	0.4907	0.1892	0.0626	0.1022	3.3831	0.4347	0.7454	0.0626	0.2562	2.8846	0.4454
guanosine	Nucleotide	Purine Metabolism, Guanine containing	1.1471	0.4158	0.1170	1.6076	2.0362	0.8645	3.0702	2.1415	0.9898	1.4612	1.4653	34.6388	0.0583	0.9950	1.9299	2.0270	9.5592	8.3119	1.0378	7.7956	0.0456	2.2748	0.6982	1.3986	2.3803	0.3926	1.0258	0.8200	0.5955	1.9194	0.9782	3.4320	0.2559	0.6491	1.3377	0.0702	0.7355	0.7043	1.3917	0.2827	0.3664	0.2425	1.1542	1.2858	1.6214	0.1580	1.0050	4.6473	1.3613	0.5679	16.1675	0.2007	0.6721	1.0748	0.6202	1.9411	0.7482	0.8261	0.0456	5.9494	1.7472	0.0755	0.4786	2.5637	12.6784	0.3344	6.1133	0.1797	0.0508	0.3686	0.3887	0.2441	0.3567	0.3034	0.3654	0.1348	0.0569	0.0683	1.0599	1.3864	3.4854	0.0456	0.0456	4.4910	1.6630
gulonate*	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	0.3284	0.0386	0.0386	0.0386	0.0386	0.0386	8.5252	0.0386	0.0386	0.0386	6.1725	1.3659	0.0386	0.7731	0.0386	0.0386	13.0812	0.0386	0.0386	0.0386	0.0386	3.0170	0.0386	1.0232	0.0386	0.0386	0.2966	0.0386	0.0386	0.0386	2.2889	0.2258	0.0386	0.0386	0.0386	0.3061	0.0386	0.0386	2.1897	0.0386	0.0386	3.3962	2.4975	6.0617	0.0386	0.0386	0.0386	0.2210	0.0386	0.0386	0.0386	0.0386	0.0386	0.0386	0.0386	0.0386	0.7595	0.0386	0.0386	1.0000	0.0386	0.0386	0.0386	0.5166	37.2064	0.1355	0.0386	0.0386	0.0386	0.0386	0.0386	0.0386	0.3113	0.2432	0.0386	0.0386	0.0386	0.0386	3.6398	0.0386	0.0386	0.0386	0.0386	0.2966	0.0386
harmane	Xenobiotics	Food Component/Plant	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	2.6120	0.5629	0.5629	0.5629	0.5629	0.5629	1.0091	0.5629	0.9909	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.7168	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	41.6304	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629	0.5629
heptadecasphingosine (d17:1)	Lipid	Sphingolipid Metabolism	0.8520	1.5606	0.9840	0.7276	3.8495	1.7655	5.2751	4.0933	2.4734	1.2383	3.2121	1.4043	0.3210	7.6799	3.2024	2.0793	1.5482	1.4585	0.7009	2.0858	0.0277	0.7544	0.1477	2.9445	3.6388	0.2659	2.9244	0.9181	0.7221	0.6753	7.3289	0.3266	2.6656	1.3147	2.2087	0.3397	1.8290	2.8294	0.3276	0.9411	1.6090	1.7896	2.3129	2.1763	0.0795	0.5248	1.1489	2.4195	0.5453	0.0277	0.5157	0.2395	0.1260	1.0795	4.5354	1.0160	0.9505	1.3299	0.1319	1.7221	0.5019	0.3635	0.2459	3.7126	0.5096	0.6748	0.3573	0.4615	0.1809	0.0277	1.3842	0.0277	0.2812	5.3102	0.6241	0.4001	0.2435	1.9359	0.4668	0.9756	2.6849	0.1671	0.5666	1.8520	0.4005
heptanoate (7:0)	Lipid	Medium Chain Fatty Acid	0.3327	0.3327	0.3327	0.3327	1.4912	0.3327	4.9255	0.3327	0.3327	0.3327	1.3028	3.4035	0.3327	0.3327	0.3327	0.3327	1.3274	0.3327	158.4374	0.3750	0.3327	0.3327	0.4031	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.8567	0.3327	0.3327	0.3327	0.3327	0.4087	0.3327	1.5613	0.3327	0.3327	0.3715	0.3327	1.2327	0.5227	0.3327	0.3327	0.3327	1.0000	0.3327	0.3327	0.3327	4.3497	0.5720	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.7453	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327	0.3327
hesperetin	Xenobiotics	Food Component/Plant	0.3612	0.3612	0.3612	0.5479	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.9950	0.9254	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	324.2379	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	15.7690	0.3612	0.3612	4.9786	0.3612	0.3612	0.3612	0.3612	0.4120	0.3612	0.3612	465.9755	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612	0.8984	0.3612	0.3612	1.0050	0.3612	0.3612	0.3612	4.9929	0.3612	0.3612	0.3612	0.3612	0.3612	0.3612
hesperidin	Xenobiotics	Food Component/Plant	0.6601	0.6601	0.6601	1.0486	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.7652	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	45.2251	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.9514	0.6601	0.6601	1.5880	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601	0.6601
hexadecadienoate (16:2n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	0.6011	0.0287	0.0287	1.5885	6.0225	0.4529	12.5945	2.7595	1.7490	7.7503	1.4726	6.8890	0.3937	4.4874	1.4403	0.0287	0.1196	0.4866	4.1392	0.5609	0.0287	1.2469	0.7597	0.4144	1.1139	0.6228	6.2147	2.0832	1.2089	0.7266	4.8421	0.1518	0.0287	0.7095	0.0287	0.6048	2.5611	0.9590	0.5113	0.0287	8.4402	2.0445	1.1126	3.1586	0.0287	1.7159	0.6821	1.4375	0.5103	0.0287	0.1912	1.0736	0.4018	1.0317	2.4038	0.2058	0.5082	1.0118	0.0287	1.2357	0.0528	0.0287	0.0407	2.6288	0.1572	0.0287	0.3360	1.3347	0.0287	0.0287	0.0588	0.0287	0.0287	1.8217	0.3470	0.0287	0.1160	0.2008	0.2689	0.9882	0.0594	0.0287	0.0287	1.3271	0.0287
hexadecanedioate (C16-DC)	Lipid	Fatty Acid, Dicarboxylate	0.3891	0.3891	1.1042	0.3891	1.8538	0.3891	15.4846	0.3891	0.6342	0.3891	3.3812	1.0979	0.3891	0.3891	0.7378	0.3891	4.8758	0.3891	4.8135	0.3891	0.5882	0.3891	1.2813	1.0000	0.5102	0.3891	0.7566	0.3891	0.3891	0.3891	0.3891	0.7058	0.3891	0.3891	0.6677	0.3891	0.8532	0.3891	2.9088	0.3891	0.8823	0.3891	0.3891	1.7296	4.2398	0.3891	0.3891	0.3891	0.7291	0.3891	0.3891	0.3891	6.6484	1.0953	0.9495	0.3891	0.3891	0.3891	0.3891	0.3891	1.6363	0.3891	0.3891	0.3891	3.6995	0.3891	0.3891	1.7881	0.3891	0.3891	0.8147	0.3891	0.3891	0.3891	0.7584	0.7784	0.3891	0.3891	0.8884	0.3891	0.3891	0.3891	0.3891	0.3891	0.3891
hexadecasphinganine (d16:0)*	Lipid	Sphingolipid Metabolism	0.1506	0.1506	0.1506	0.5542	0.8579	1.1331	22.6779	1.3928	0.9095	0.6571	11.4984	5.5280	0.2854	2.8604	1.6130	0.4551	23.3000	0.1506	3.6475	0.1506	0.1506	0.1506	0.1506	0.7271	1.6669	0.1506	1.0107	0.5644	0.2548	0.2886	3.0082	0.1506	0.5075	0.5163	1.4600	0.1506	2.7973	0.5824	1.0252	0.3307	0.9684	0.5804	0.6852	10.9579	1.7670	0.1506	0.1506	2.7616	2.9318	0.1506	0.1506	0.1506	3.1645	1.5935	3.1525	0.1506	0.1506	0.2866	0.1506	0.4290	0.1506	0.1506	0.1506	0.9893	2.5670	0.1506	0.1506	0.6499	0.1506	0.1506	0.1506	0.1506	0.1506	2.6458	0.1732	0.1506	0.1506	0.6144	0.1506	0.2196	1.1284	0.1506	0.1506	0.1506	0.1506
hexadecasphingosine (d16:1)*	Lipid	Sphingolipid Metabolism	0.9258	1.2475	0.9556	0.7691	3.1799	1.7874	10.9922	4.5552	2.3044	2.0125	4.0211	6.3604	0.2468	7.6185	1.8866	1.8186	13.6349	1.4697	0.9248	2.8999	0.1027	0.7949	0.2238	2.0757	2.6794	0.3238	4.5708	1.1391	0.6563	0.8332	5.5349	0.2251	1.9954	0.7638	1.5371	0.3893	2.4657	2.2762	0.9616	0.7599	2.2263	1.4037	1.9142	2.3100	0.2068	0.9111	1.5994	1.3877	1.2022	0.2687	0.4867	0.3228	0.6763	1.0746	3.7048	0.8991	0.8120	0.9212	0.1481	1.4107	0.5189	0.4261	0.2878	3.2489	1.9265	0.7327	0.3910	0.4547	0.1027	0.1027	1.2662	0.1858	0.1411	4.5830	0.4143	0.2472	0.2403	1.9239	0.5034	1.0000	1.6249	0.2012	0.5109	1.5748	0.4089
hippurate	Xenobiotics	Benzoate Metabolism	0.2226	0.2226	0.4691	0.2226	0.2226	2.0111	4.6072	2.6499	9.7337	0.2226	3.7706	1.6776	0.2226	1.1958	1.0589	1.0043	0.2226	0.9463	0.5223	0.2226	0.2226	0.6857	0.4603	0.9209	0.2226	2.3669	0.5967	0.6137	0.2226	5.3728	0.2226	0.2226	0.6079	0.2226	1.0559	139.4437	0.2226	1.0615	0.4678	0.2226	0.4117	61.8781	7.8309	26.3270	0.5460	0.2226	0.2226	0.8433	0.2226	0.2226	3.9875	451.4254	0.2226	0.9957	0.2226	0.5398	4.0314	0.2226	0.6769	4.5094	0.2226	0.7284	0.2226	0.2226	0.2226	20.0469	1.1561	0.2226	0.7903	0.9029	0.2226	0.2721	5.8515	0.5988	0.2566	0.3000	0.2226	0.4767	7.0446	0.5847	15.5253	0.5155	23.0055	0.5609	2.5594
histamine	Amino Acid	Histidine Metabolism	0.1848	0.1848	0.1848	6.0505	0.1848	1.5600	3.3929	0.1848	0.1848	0.1848	0.1848	0.1848	0.1848	0.1848	0.4511	0.1848	662.2891	0.1848	0.8005	0.3477	0.1848	0.1848	0.1848	0.1848	0.9125	0.1848	0.1848	0.1848	0.1848	0.1848	3.5870	0.1848	0.1848	0.1848	0.1848	0.1848	47.3469	0.1848	5.3666	0.1848	0.6900	0.4804	5.8862	0.2082	0.8935	0.1848	0.1848	1.3909	3.2641	0.1848	0.1848	0.1848	0.1848	0.1848	0.1848	0.3626	0.1848	0.1848	0.1848	1.0000	0.1848	0.1848	0.1848	0.9551	456.3303	0.1848	0.1848	0.1848	0.1848	0.1848	0.1848	0.1848	0.1848	0.2633	0.1848	0.1848	0.1848	0.1848	0.1848	0.1848	11.1884	0.1848	0.1848	0.1848	0.1848
histidine	Amino Acid	Histidine Metabolism	0.8704	0.2361	0.1864	2.5831	1.8223	0.1273	32.8565	7.7233	7.0847	0.3499	3.6118	28.6909	0.0225	6.5583	2.5309	1.4603	1.9785	1.1586	0.5817	3.0783	0.0225	1.0773	0.0880	1.5860	1.2160	0.0553	0.5590	0.5406	1.0467	0.1151	9.9737	2.2353	0.1686	0.3033	1.8391	0.0451	12.7303	1.1078	0.2373	0.2634	2.2055	25.4590	1.9958	1.9284	1.0110	0.1304	0.4000	2.7312	0.8555	0.0225	1.2312	0.0800	0.7747	2.5438	5.9199	0.0902	0.3814	0.7581	0.0225	1.7525	0.8061	0.0225	0.0225	0.4575	1.7142	0.1265	0.3150	0.2207	0.0225	0.0225	0.8461	0.0225	0.0516	6.9983	0.0710	0.0225	0.0225	5.0299	1.1277	0.2346	2.4261	0.0225	0.6924	0.9890	0.5284
histidylalanine	Peptide	Dipeptide	0.7812	0.1210	0.1210	0.6771	0.5429	0.5188	0.1210	2.2004	2.3475	0.1210	1.1847	9.6209	0.1210	0.8693	3.9642	2.1522	5.3224	1.7771	0.1210	0.2309	0.1210	1.0125	0.6770	1.5235	0.3734	0.1210	0.1210	0.8214	0.6705	0.1210	2.7933	0.5901	0.1210	0.7599	5.2381	0.1210	1.3992	0.9936	0.3421	0.2263	0.1210	2.1762	2.8473	0.5116	0.1210	0.1210	0.1859	4.0321	0.1210	0.1210	0.2698	0.1210	0.1210	1.4158	1.1890	0.1210	3.0217	0.4831	0.1210	2.7193	0.1971	0.1210	0.1210	0.1210	1.4195	0.1210	1.3198	0.1210	0.1210	0.1210	0.1210	0.1210	0.1210	0.9893	0.2149	0.1210	0.1210	0.6514	1.1131	0.1210	1.1629	0.1210	0.1210	1.0000	0.1210
homocitrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	4.6268	1.5062	0.1111	1.8328	3.0634	0.1111	13.4207	0.5551	0.6790	0.1456	5.3037	0.1111	0.1111	0.9942	0.5911	0.4020	0.1111	0.9994	9.7058	3.4245	0.1111	0.7723	1.2571	0.8337	1.2788	0.1111	9.9704	3.2726	0.1459	1.1199	1.3614	1.0034	0.2245	0.2045	1.1659	0.7924	0.2883	1.0000	4.2912	0.6112	0.1655	1.7113	3.9507	5.8802	19.0130	0.1111	0.3781	0.4537	0.9052	0.1658	0.1111	6.9301	3.9640	2.7414	3.6431	0.1111	4.9249	0.7835	0.1111	3.1283	0.4212	0.1111	0.1111	1.5200	0.1111	0.9494	1.2336	12.3727	0.1111	0.1111	0.4026	0.8426	0.1719	1.1056	0.4330	0.1111	0.1111	0.4539	24.9265	0.3565	0.7550	0.1111	0.3324	0.5612	1.9737
homostachydrine*	Xenobiotics	Food Component/Plant	0.9915	0.1462	0.1462	0.4138	2.1516	0.1462	30.6022	0.6397	1.0000	0.1462	16.3651	5.8966	0.1462	0.1462	0.1462	0.6338	17.2739	0.1462	4.1913	2.3346	0.1462	1.2710	0.1462	0.6378	0.1462	1.0997	7.7784	0.5572	0.6923	0.4170	0.1462	0.1462	0.1462	0.1462	1.2861	0.1462	1.8253	0.8207	0.9483	0.3332	0.1462	0.9637	1.2791	5.8360	0.9550	0.1462	0.4179	0.1462	2.2888	0.1462	0.1462	1.8577	2.5037	0.5404	0.2752	0.1462	2.2572	0.1462	0.1462	0.8189	0.1462	0.1462	0.1462	1.0048	3.9365	2.0410	0.8264	0.4524	0.1462	0.1462	0.1462	0.1462	0.1462	0.8174	0.1462	0.1462	0.1462	0.1462	9.4683	0.1462	0.5826	0.1462	0.1462	0.1462	0.1462
hydantoin-5-propionic acid	Amino Acid	Histidine Metabolism	1.1238	0.1670	0.1670	0.1670	0.3468	0.1670	23.1942	0.6756	0.3356	0.1670	4.8364	3.1805	0.1670	0.3858	0.1670	0.9273	2.5861	0.3173	0.8627	5.1877	0.1670	5.0533	0.1670	0.8600	0.1670	0.1670	7.4471	0.1670	0.1670	0.1670	0.8633	0.1670	0.1670	0.1670	0.3764	1.0073	1.4151	0.2678	0.5934	0.1670	0.1670	5.8244	5.0144	22.7919	0.1670	0.9352	0.1670	0.4707	0.8474	0.1670	0.1670	10.5636	0.8809	1.0450	2.7107	0.1670	4.2476	0.2501	0.1670	2.9794	0.9927	0.1670	0.1670	1.6455	2.5302	1.8623	0.7152	0.2996	0.1670	0.1670	0.8715	0.1670	1.1243	0.7812	0.1670	0.1670	0.1670	0.6700	37.0667	0.1670	1.4626	0.1670	0.1670	0.2665	1.9203
hydroquinone sulfate	Xenobiotics	Drug - Topical Agents	0.7557	0.2496	0.2496	0.2496	0.5024	0.3542	9.2373	0.4228	0.2496	0.6993	1.6279	1.0670	0.2496	0.2496	0.2496	0.2496	2.7864	0.3010	0.2496	0.2496	0.2496	0.9330	0.2496	0.7352	0.2496	0.2496	0.5330	0.2496	0.2496	0.4737	0.2496	0.2496	0.2496	0.3378	0.2496	12.2657	0.2496	0.2496	0.2496	0.2496	0.2496	2.3850	2.0465	7.2817	0.2496	0.2496	0.3288	0.2496	0.2496	0.2496	0.2496	19.6454	0.7245	0.2496	0.2496	0.2496	0.8923	0.2496	0.2496	5.0048	0.2496	0.2496	0.2496	1.0928	0.2496	3.7451	1.3869	0.2496	0.2496	0.2496	0.2496	0.2496	1.1968	0.2496	0.2496	0.2496	0.2496	0.2496	13.1307	0.2496	0.2496	0.2496	0.2496	0.2496	0.2496
